NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100; PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32; TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE; TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT; UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP; FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S; FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM; INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT; HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM; NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202301;51.7;1;31;;14.1;1;14;10;4;1;0;0;0;;;0;;;;8.7;1;31;;15.1;1;1;1.8;1;25;0;0;0;0;31;31;0;4.1;1;31;;-4.5;1;29;12.0;1;5;0;0;27;31;31;0;0;8;4.6;1;12.2;1;31;31;6.4;1;31;6.3;1;31;0;0.8;1;25;13.3;1;1;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202302;0.6;1;28;;0.2;1;21;0;0;0;0;0;0;;;0;;;;11.3;1;28;;17.9;1;21;6.4;1;26;0;0;0;0;28;28;0;2.2;1;28;;-6.1;1;9;11.3;1;18;2;0;26;28;28;0;0;13;9.1;1;19.5;1;21;28;6.7;1;28;6.1;1;28;0;0.9;1;9;13.0;1;17;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202303;66.9;1;31;;21.3;1;8;13;3;1;0;0;0;;;0;;;;13.6;1;31;;21.9;1;29;6.5;1;4;0;0;0;0;30;31;0;5.8;1;31;;-2.9;1;2;13.1;1;30;0;0;26;31;31;0;0;4;7.8;1;14.9;1;20;31;9.7;1;31;9.4;1;31;0;1.9;1;4;15.8;1;30;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202304;67.8;1;30;;17.3;1;14;10;4;3;0;0;0;;;0;;;;15.6;1;30;;23.7;1;28;8.9;1;2;0;0;0;0;28;30;0;5.6;1;30;;-1.6;1;5;14.7;1;28;0;0;28;30;30;0;0;2;10.0;1;18.1;1;5;30;10.6;1;30;10.3;1;30;0;5.7;1;4;19.2;1;28;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202305;55.1;1;31;;23.2;1;6;8;3;2;0;0;0;;;0;;;;21.1;1;31;;27.4;1;31;15.7;1;12;0;4;0;0;13;29;0;9.7;1;31;;5.1;1;3;13.9;1;7;0;0;14;31;31;0;0;0;11.4;1;17.1;1;3;31;15.4;1;31;15.3;1;31;0;12.0;1;16;19.5;1;31;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202306;40.8;1;30;;9.5;1;22;8;3;0;0;0;0;;;0;;;;28.4;1;30;;34.7;1;25;21.7;1;2;0;28;9;0;0;8;1;14.6;1;30;;10.5;1;3;19.2;1;29;0;0;0;18;30;0;0;0;13.9;1;19.4;1;25;30;21.5;1;30;21.5;1;30;1;16.2;1;2;25.0;1;25;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202307;103.7;1;31;;42.6;1;28;10;7;3;1;0;0;;;0;;;;26.6;1;31;;34.7;1;8;20.7;1;31;0;22;6;0;0;22;3;15.1;1;31;;9.3;1;26;20.0;1;15;0;0;1;14;31;2;0;0;11.5;1;19.7;1;7;31;20.9;1;31;20.7;1;31;3;17.1;1;26;26.7;1;8;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202308;68.5;1;31;;26.3;1;1;11;3;2;0;0;0;;;0;;;;25.5;1;31;;32.0;1;23;18.8;1;31;0;17;4;0;3;18;1;15.0;1;31;;10.1;1;29;21.1;1;19;0;0;0;14;30;1;0;0;10.5;1;15.8;1;20;31;20.3;1;31;19.9;1;31;4;15.3;1;31;24.5;1;18;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202309;40.8;1;30;;16.0;1;12;6;3;2;0;0;0;;;0;;;;27.0;1;30;;36.3;1;8;18.2;1;21;0;20;9;3;3;17;7;14.2;1;30;;6.0;1;24;17.9;1;10;0;0;4;15;30;0;0;0;12.8;1;20.0;1;7;30;20.6;1;30;19.9;1;30;5;13.8;1;24;26.7;1;10;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 93050001;NEUILLY-SUR-M.;48.860500;2.549500;45;202310;90.7;1;31;;14.3;1;19;16;7;2;0;0;0;;;0;;;;20.3;1;31;;29.2;1;10;12.3;1;23;0;8;0;0;16;26;0;9.7;1;31;;1.0;1;16;16.3;1;3;0;0;16;28;31;0;0;0;10.6;1;20.5;1;10;31;15.0;1;31;14.3;1;31;0;7.7;1;16;20.8;1;13;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
