NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100; PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32; TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE; TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT; UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP; FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S; FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM; INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT; HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM; NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202301;58.4;1;31;;12.4;1;14;14;3;1;0;0;0;;;0;;;;8.0;1;31;;16.5;1;1;1.5;1;22;0;0;0;0;31;31;0;4.1;1;31;;-2.3;1;29;12.2;1;1;0;0;29;31;31;0;0;6;3.9;1;8.5;1;10;31;6.1;1;31;6.0;1;31;0;0.1;1;22;14.4;1;1;54;1;1;31;100;1;31;31;86;1;31;8.3;9;31;;;26.9;1;240;1;16;19;8;0;31;23.8;9;;0;16;16;3;0;27;16.2;1;260;1;16;11;5;1;29;4.8;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202302;3.6;1;28;;2.4;1;22;1;0;0;0;0;0;;;0;;;;10.2;1;28;;15.6;1;21;5.3;1;8;0;0;0;0;28;28;0;2.1;1;28;;-6.0;1;9;10.5;1;18;1;0;27;28;28;0;0;12;8.1;1;16.7;1;21;28;6.1;1;28;5.6;1;28;0;0.6;1;9;11.6;1;17;27;1;27;28;100;1;21;28;79;1;28;7.5;9;28;;;16.7;1;40;1;27;9;1;0;28;14.9;9;;0;27;7;0;0;28;9.4;1;30;1;26;3;0;0;28;3.0;1;28;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202303;74.8;1;31;;9.6;1;9;17;6;0;0;0;0;;;0;;;;13.1;1;31;;20.1;1;29;6.7;1;4;0;0;0;0;30;31;0;5.3;1;31;;-2.8;1;2;12.2;1;30;0;0;27;31;31;0;0;7;7.8;1;15.1;1;20;31;9.2;1;31;9.0;1;31;0;2.5;1;4;14.8;1;30;40;1;16;31;99;1;20;31;75;1;31;8.8;9;31;;;24.7;1;270;1;10;20;10;0;31;22.6;9;;0;10;20;8;0;31;15.2;1;290;1;10;15;9;1;31;4.5;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202304;44.8;1;30;;6.4;1;14;10;4;0;0;0;0;;;0;;;;14.9;1;30;;21.5;1;28;8.4;1;2;0;0;0;0;29;30;0;5.4;1;30;;-1.3;1;5;14.3;1;28;0;0;29;30;30;0;0;1;9.5;1;16.6;1;5;30;10.2;1;30;9.9;1;30;0;5.8;1;4;17.9;1;28;32;1;5;30;100;1;9;30;78;1;30;9.5;9;30;;;22.9;1;270;1;12;17;4;0;30;21.2;9;;0;12;13;3;0;30;11.8;1;280;1;12;6;3;0;30;3.4;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202305;38.2;1;31;;12.6;1;10;5;3;2;0;0;0;;;0;;;;20.5;1;31;;26.6;1;28;14.7;1;12;0;4;0;0;14;31;0;9.4;1;31;;4.1;1;3;13.3;1;7;0;0;17;31;31;0;0;0;11.1;1;16.7;1;4;31;15.0;1;31;15.0;1;31;0;11.1;1;16;18.9;1;31;28;1;31;31;99;1;6;31;74;1;31;12.3;9;31;;;16.3;1;30;1;13;16;1;0;31;14.9;9;;0;13;11;0;0;30;9.1;1;300;1;1;1;0;0;30;2.9;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202306;64.1;1;30;;27.5;1;22;7;3;3;0;0;0;;;0;;;;27.9;1;30;;34.1;1;25;22.0;1;2;0;27;4;0;0;9;1;14.1;1;30;;9.3;1;3;18.3;1;11;0;0;2;18;30;0;0;0;13.8;1;18.6;1;25;30;21.0;1;30;21.0;1;30;1;16.5;1;2;24.8;1;25;22;1;16;30;99;1;20;30;65;1;30;15.4;9;30;;;18.4;1;260;1;18;12;1;0;30;16.7;9;;0;18;6;1;0;30;10.0;1;280;1;18;2;1;0;30;2.3;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202307;98.4;1;31;;23.2;1;28;13;6;3;0;0;0;;;0;;;;27.0;1;31;;35.2;1;8;20.9;1;25;0;25;5;1;0;19;4;14.7;1;31;;11.0;1;6;19.1;1;9;0;0;0;17;31;0;0;0;12.3;1;21.1;1;14;31;20.9;1;31;20.6;1;31;2;17.6;1;5;26.7;1;8;18;1;14;31;97;1;28;31;65;1;31;15.1;9;31;;;15.0;1;270;1;24;20;0;0;31;13.9;9;;0;24;16;0;0;30;9.3;1;270;1;24;4;0;0;31;3.5;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202308;72.4;1;31;;16.8;1;1;10;6;2;0;0;0;;;0;;;;25.6;1;31;;31.9;1;18;19.9;1;5;0;16;4;0;1;20;0;15.2;1;31;;9.8;1;30;19.8;1;24;0;0;1;16;31;0;0;0;10.4;1;15.1;1;14;31;20.4;1;31;19.9;1;31;4;15.5;1;30;25.1;1;20;39;1;29;31;99;1;20;31;75;1;31;17.4;9;31;;;21.1;1;260;1;2;12;3;0;31;;;;;;;;;0;12.8;1;260;1;2;6;4;0;31;3.2;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202309;35.3;1;30;;11.8;1;21;5;2;1;0;0;0;;;0;;;;26.6;1;30;;35.2;1;9;16.3;1;22;0;18;9;2;3;17;6;14.2;1;30;;6.1;1;24;17.7;1;18;0;0;3;15;30;0;0;0;12.5;1;18.5;1;9;30;20.4;1;30;20.0;1;30;5;13.5;1;24;26.1;1;10;24;1;5;30;100;1;27;30;74;1;30;16.6;9;30;;;16.7;1;250;1;17;10;1;0;30;15.1;9;;0;17;8;0;0;30;10.8;1;280;9;17;5;1;0;30;2.5;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 77054001;LA BROSSE-MX;48.351667;3.023333;77;202310;96.1;1;31;;15.1;1;25;13;8;3;0;0;0;;;0;;;;20.1;1;31;;29.5;1;2;12.5;1;23;0;8;0;0;19;26;0;10.3;1;31;;2.9;1;16;17.9;1;13;0;0;13;28;31;0;0;0;9.8;1;19.0;1;10;31;15.2;1;31;14.6;1;31;0;8.8;1;16;23.5;1;13;32;1;13;31;100;1;6;31;79;1;31;13.0;9;31;;;19.0;1;250;9;13;18;4;0;31;17.7;9;;0;29;18;3;0;31;11.7;1;240;9;13;11;4;0;31;3.6;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
