NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100; PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32; TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE; TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT; UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP; FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S; FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM; INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT; HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM; NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
 78005002;ACHERES;48.983167;2.126000;31;202301;42.4;1;31;;9.2;1;14;9;4;0;0;0;0;;;0;;;;8.6;1;31;;16.0;1;1;1.6;1;25;0;0;0;0;31;31;0;3.4;1;31;;-6.1;1;29;11.4;1;5;1;0;28;31;31;0;0;9;5.2;1;13.2;1;31;31;6.0;1;31;6.1;1;31;0;-0.5;1;29;13.6;1;1;50;1;1;31;100;1;17;31;84;1;31;8.2;9;31;;;17.7;1;290;1;16;20;2;0;31;15.1;9;;0;15;16;0;0;31;8.5;1;240;1;15;4;0;0;31;3.0;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202302;1.0;1;28;;1.0;1;22;1;0;0;0;0;0;;;0;;;;10.8;1;28;;15.9;1;17;6.3;1;26;0;0;0;0;28;28;0;1.4;1;28;;-8.4;1;9;11.7;1;17;2;0;26;28;28;0;0;14;9.4;1;19.9;1;14;28;6.1;1;28;5.6;1;28;0;-0.2;1;9;13.8;1;17;30;1;27;28;100;1;22;28;78;1;28;7.3;9;28;;;16.4;1;20;1;26;9;1;0;28;15.1;9;;0;26;7;0;0;28;8.7;1;30;1;26;1;0;0;28;2.1;1;28;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202303;38.0;1;31;;7.4;1;7;9;3;0;0;0;0;;;0;;;;13.5;1;31;;20.9;1;29;6.8;1;4;0;0;0;0;30;31;0;5.4;1;31;;-5.1;1;4;12.5;1;30;2;0;27;31;31;0;0;6;8.1;1;16.1;1;20;31;9.5;1;31;9.2;1;31;0;0.9;1;4;15.5;1;30;35;1;16;31;99;1;18;31;72;1;31;8.6;9;31;;;22.7;1;260;1;31;22;6;0;31;20.8;9;;0;10;19;4;0;31;12.1;1;270;1;10;6;2;0;31;3.1;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202304;46.0;1;30;;12.6;1;14;10;2;2;0;0;0;;;0;;;;15.4;1;30;;22.6;1;28;9.2;1;14;0;0;0;0;29;30;0;4.5;1;30;;-3.6;1;5;14.3;1;28;0;0;29;30;30;0;0;5;10.9;1;20.1;1;9;30;10.0;1;30;9.8;1;30;0;5.0;1;14;18.5;1;28;24;1;5;30;99;1;16;30;74;1;30;8.9;9;30;;;19.7;1;270;1;12;14;2;0;30;17.2;9;;0;12;11;1;0;30;10.9;1;260;1;12;3;1;0;30;2.5;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202305;58.4;1;31;;17.8;1;9;8;4;3;0;0;0;;;0;;;;20.9;1;31;;27.7;1;28;15.0;1;12;0;3;0;0;12;29;0;9.1;1;31;;3.8;1;17;13.6;1;7;0;0;19;31;31;0;0;0;11.8;1;16.6;1;3;31;15.0;1;31;15.0;1;31;0;10.5;1;1;19.8;1;28;30;1;30;31;100;1;2;31;71;1;31;11.7;9;31;;;13.2;1;40;1;29;16;0;0;31;11.8;9;;0;29;12;0;0;31;8.1;1;30;1;29;1;0;0;31;2.7;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202306;25.5;1;30;;11.7;1;18;3;2;1;0;0;0;;;0;;;;28.5;1;30;;35.3;1;25;21.1;1;2;0;28;9;1;0;10;3;13.9;1;30;;8.2;1;3;19.7;1;29;0;0;3;20;30;0;0;0;14.6;1;21.4;1;25;30;21.2;1;30;21.4;1;30;3;15.6;1;2;24.9;1;18;20;1;14;30;99;1;19;30;61;1;30;14.5;9;30;;;22.9;1;250;1;18;11;1;0;30;10.7;9;;0;25;4;0;0;29;12.5;1;250;1;18;1;1;0;30;2.1;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202307;58.9;1;31;;17.0;1;31;7;4;2;0;0;0;;;0;;;;26.5;1;31;;33.9;1;8;20.7;1;31;0;21;6;0;0;20;3;13.9;1;31;;7.8;1;26;20.6;1;15;0;0;7;17;30;1;0;0;12.6;1;22.0;1;7;31;20.2;1;31;20.2;1;31;1;16.2;1;26;26.6;1;8;22;1;10;31;98;1;26;31;64;1;31;14.4;9;31;;;18.9;1;280;9;4;18;2;0;31;16.0;9;;0;4;11;1;0;30;8.8;1;280;9;4;2;0;0;31;2.3;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202308;58.4;1;31;;29.6;1;1;9;3;1;0;0;0;;;0;;;;25.6;1;31;;33.0;1;23;19.3;1;31;0;17;4;0;1;19;2;14.1;1;31;;8.4;1;29;21.3;1;19;0;0;3;20;30;1;0;0;11.5;1;17.8;1;20;31;19.8;1;31;19.5;1;31;3;15.0;1;29;25.4;1;23;33;1;20;31;99;1;29;31;73;1;31;16.3;9;31;;;18.6;1;260;1;5;10;2;0;31;;;;;;;;;0;9.6;1;260;1;2;2;0;0;31;1.9;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202309;65.9;1;30;;18.9;1;12;8;5;2;0;0;0;;;0;;;;26.7;1;30;;36.3;1;9;17.7;1;22;0;17;8;3;4;18;6;13.1;1;30;;4.6;1;24;17.0;1;10;0;0;6;20;30;0;0;0;13.6;1;21.3;1;8;30;19.9;1;30;19.4;1;30;3;13.0;1;24;26.6;1;10;23;1;10;30;100;1;24;30;75;1;30;16.2;9;30;;;16.3;1;250;9;17;6;1;0;30;14.1;9;;0;17;6;0;0;30;6.9;1;270;1;29;0;0;0;30;1.3;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
 78005002;ACHERES;48.983167;2.126000;31;202310;67.4;1;31;;13.2;1;26;13;6;2;0;0;0;;;0;;;;19.9;1;31;;29.4;1;2;12.0;1;23;0;8;0;0;20;27;0;8.8;1;31;;-0.3;1;16;15.5;1;3;0;0;18;28;31;0;0;1;11.1;1;21.6;1;10;31;14.4;1;31;13.8;1;31;0;6.7;1;16;21.0;1;13;28;1;10;31;99;1;31;31;81;1;31;12.7;9;31;;;18.7;1;220;1;29;10;4;0;31;15.7;9;;0;28;7;0;0;31;7.8;1;210;9;28;0;0;0;31;1.7;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
